PART_NUMBER,PART_DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,GROUP_5,SALES_PRICE,SALES_PRICE_RRP,UOM,SIZE_VALUE,SIZE_UOM,PART_NOTES,ITEM_TYPE,CUSTOM_WEIGHT,COUNTRY_OF_ORIGIN,BCRS,MULTIPLIER,SYSTEM_STATUS,SYSTEM_DATE,SYSTEM_USERNAME,SYSTEM_IP,TOTAL_RECORDS,XTRA_RECORD_DETAILS,XTRA_RECORD_SELECTION,XTRA_PAGE_NUMBER,XTRA_SORT_NUMBER,XTRA_TOTAL_PAGES,XTRA_TOTAL_RECORDS,RESPONSE_CODE,RESPONSE_MESSAGE,Image,scrape_tag
5201360112265,7 Days Bake Rolls Bacon 80g,Confectionery,Crisps Popcorn And other Snacks,Snacks and Crisps,7 Days,,0.8,0.85,Each,0.08,kg,,Stock,,,No,0.0,A,2018-09-14T13:15:23.917,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0115/5201360112265.jpg,confectionery
5201360639205,7 Days Bake Rolls Garlic 80g,Confectionery,Crisps Popcorn And other Snacks,Snacks and Crisps,7 Days,,0.8,0.85,Each,0.08,kg,,Stock,,United Kingdom,No,0.0,A,2018-09-18T13:29:10.46,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0129/5201360639205.jpg,confectionery
5201360671069,7 Days Bake Rolls Pizza 80g,Confectionery,Crisps Popcorn And other Snacks,Snacks and Crisps,7 Days,,0.8,0.85,Each,0.08,kg,,Stock,,,No,0.0,A,2018-09-18T13:29:12.46,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0129/5201360671069.jpg,confectionery
5201360639007,7 Days Bake Rolls Plain 80g,Confectionery,Crisps Popcorn And other Snacks,Snacks and Crisps,7 Days,,0.8,0.85,Each,0.08,kg,,Stock,,,No,0.0,A,2018-09-18T13:29:12.51,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0129/5201360639007.jpg,confectionery
5201360674503,7 Days Bake Rolls Sour Cream&onion 80g,Confectionery,Pastries and Prepacked Cakes,Croissants,7 Days,,0.8,0.85,Each,0.08,kg,,Stock,,,No,0.0,A,2018-09-18T13:33:53.473,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0133/5201360674503.jpg,confectionery
5201360639571,7 Days Bake Rolls Tomato Olive 80g,Confectionery,Crisps Popcorn And other Snacks,Snacks and Crisps,7 Days,,0.8,0.85,Each,0.08,kg,,Stock,,,No,0.0,A,2018-09-14T13:15:22.72,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0115/5201360639571.jpg,confectionery
5201360112159,7 Days Croissant Crem Brule 80g,Confectionery,Pastries and Prepacked Cakes,Croissants,7 Days,,0.79,0.8,Each,0.08,kg,,Stock,,,No,0.0,A,2018-09-14T13:16:41.037,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0116/5201360112159.jpg,confectionery
5201360582280,7 Days Croissants Chocolate Olate 6pc 40g,Confectionery,Pastries and Prepacked Cakes,Croissants,7 Days,,2.36,2.4,Each,0.04,kg,,Stock,,,No,0.0,A,2019-03-27T07:32:51.397,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0732/5201360582280.jpg,confectionery
5201360501571,7 Days Double Croissant Vanilla&cherry 80g,Confectionery,Pastries and Prepacked Cakes,Croissants,7 Days,,0.79,0.8,Each,0.08,kg,,Stock,,,No,0.0,A,2018-09-14T13:16:41.02,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0116/5201360501571.jpg,confectionery
5201360521210,7 Days Midi Croissant Cocoa 60g,Confectionery,Pastries and Prepacked Cakes,Croissants,7 Days,,0.59,0.6,Each,0.06,kg,,Stock,,,No,0.0,A,2018-09-14T13:15:11.827,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0115/5201360521210.jpg,confectionery
5201360571208,7 Days Mini Croissant Chocolate 60g,Confectionery,Pastries and Prepacked Cakes,Croissants,7 Days,,0.97,0.99,Each,0.06,kg,,Stock,,,No,0.0,A,2018-09-14T13:15:55.477,GREENS,127.0.0.1,2084,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0115/5201360571208.jpg,confectionery
