PART_NUMBER,PART_DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,GROUP_5,SALES_PRICE,SALES_PRICE_RRP,UOM,SIZE_VALUE,SIZE_UOM,PART_NOTES,ITEM_TYPE,CUSTOM_WEIGHT,COUNTRY_OF_ORIGIN,BCRS,MULTIPLIER,SYSTEM_STATUS,SYSTEM_DATE,SYSTEM_USERNAME,SYSTEM_IP,TOTAL_RECORDS,XTRA_RECORD_DETAILS,XTRA_RECORD_SELECTION,XTRA_PAGE_NUMBER,XTRA_SORT_NUMBER,XTRA_TOTAL_PAGES,XTRA_TOTAL_RECORDS,RESPONSE_CODE,RESPONSE_MESSAGE,Image,scrape_tag
2470003,Acciola Amberjack Fillet ( Local ) - Fish,Fish,Fresh Fish,Local Fresh Fish,,Refrigerated,24.0,24.0,Each,1.0,kg,,Weighted,,Malta,No,0.0,A,2019-03-01T20:31:57.47,GREENS,127.0.0.1,347,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fish
2472003,Acciola Amberjack Fillet ( Local ) (g),Fish,Fresh Fish,Local Fresh Fish,,Refrigerated,19.95,19.95,Each,1.0,kg,,Weighted,,Malta,No,0.0,A,2023-11-10T08:23:55.03,GREENS,127.0.0.1,347,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fish
2470002,Acciola -amberjack Whole ( Local ) - Fish,Fish,Fresh Fish,Local Fresh Fish,,Refrigerated,16.0,16.0,Each,1.0,kg,,Weighted,,Malta,No,0.0,A,2018-09-20T13:53:31.057,GREENS,127.0.0.1,347,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0153/2470002.jpg,fish
2472002,Acciola Amberjack Whole ( Local ) - Fish,Fish,Fresh Fish,Local Fresh Fish,,Refrigerated,14.95,14.95,Each,1.0,kg,,Weighted,,Malta,No,0.0,A,2023-04-01T13:03:50.973,GREENS,127.0.0.1,347,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fish
2470964,Acciola King Fish Whole (local) (gourmet),Fish,Fresh Fish,Gourmet Fish,,Refrigerated,25.5,25.5,Each,1.0,kg,,Weighted,,Malta,No,0.0,A,2019-09-26T09:33:38.35,GREENS,127.0.0.1,347,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fish
2470004,Acciolaamberjack Steak ( Local ) - Fish,Fish,Fresh Fish,Local Fresh Fish,,Refrigerated,26.0,26.0,Each,1.0,kg,,Weighted,,Malta,No,0.0,A,2018-09-20T13:53:31.083,GREENS,127.0.0.1,347,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0153/2470004.jpg,fish
2470067,Aljotta Fish Soup,Fish,Fresh Fish,Local Fresh Fish,,Refrigerated,7.95,7.95,Each,1.0,kg,,Weighted,,Malta,No,0.0,A,2020-02-03T17:30:30.953,GREENS,127.0.0.1,347,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0530/2470067.jpg,fish
2470930,Anchovy - Fish,Fish,Fresh Fish,Gourmet Fish,,Refrigerated,27.2,27.2,Each,1.0,kg,,Weighted,,Malta,No,0.0,A,2018-09-20T13:54:05.113,GREENS,127.0.0.1,347,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0154/2470930.jpg,fish
8002202003218,Arbi Condiscoglio Pomodoro 450g,Fish,Frozen Fish,Frozen Fish,Arbi,,5.89,5.99,Each,0.45,kg,,Stock,,,No,0.0,A,2018-09-20T13:51:49.847,GREENS,127.0.0.1,347,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0151/8002202003218.jpg,fish
8002202003225,Arbi Condivongola 450g,Fish,Frozen Fish,Frozen Fish,Arbi,,6.35,6.49,Each,0.45,kg,,Stock,,,No,0.0,A,2018-09-14T13:16:31.807,GREENS,127.0.0.1,347,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0116/8002202003225.jpg,fish
