PART_NUMBER,PART_DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,GROUP_5,SALES_PRICE,SALES_PRICE_RRP,UOM,SIZE_VALUE,SIZE_UOM,PART_NOTES,ITEM_TYPE,CUSTOM_WEIGHT,COUNTRY_OF_ORIGIN,BCRS,MULTIPLIER,SYSTEM_STATUS,SYSTEM_DATE,SYSTEM_USERNAME,SYSTEM_IP,TOTAL_RECORDS,XTRA_RECORD_DETAILS,XTRA_RECORD_SELECTION,XTRA_PAGE_NUMBER,XTRA_SORT_NUMBER,XTRA_TOTAL_PAGES,XTRA_TOTAL_RECORDS,RESPONSE_CODE,RESPONSE_MESSAGE,Image,scrape_tag
2460823,3 Color Zugghini Mix,Fruits and Vegetables,Vegetables,Other Vegetables,Greens Products,,3.95,3.95,Each,0.25,p,,Stock,,,No,0.0,A,2020-05-15T19:31:35.553,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0731/2460823.jpg,fruitsandvegetables
L34209345,Agave Stricta Nana,Fruits and Vegetables,Flowers,Flowers,,,11.42,11.42,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:35.067,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L30379561,Aglaonema,Fruits and Vegetables,Flowers,Flowers,,,21.11,21.11,Each,1.0,p,,Stock,,,No,0.0,A,2022-12-02T10:51:16.2,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L30379565,Aglaonema,Fruits and Vegetables,Flowers,Flowers,,,27.94,27.94,Each,1.0,p,,Stock,,,No,0.0,A,2022-12-02T10:51:16.217,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L29400628,Aglaonema,Fruits and Vegetables,Flowers,Flowers,,,23.6,23.6,Each,1.0,p,,Stock,,,No,0.0,A,2022-10-07T08:03:26.87,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L29400661,Aglaonema,Fruits and Vegetables,Flowers,Flowers,,,16.36,16.36,Each,1.0,p,,Stock,,,No,0.0,A,2022-10-07T08:03:26.883,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L32549269,Aglaonema,Fruits and Vegetables,Flowers,Flowers,,,35.81,35.81,Each,1.0,p,,Stock,,,No,0.0,A,2023-04-20T11:07:36.993,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L32549271,Aglaonema,Fruits and Vegetables,Flowers,Flowers,,,28.39,28.39,Each,1.0,p,,Stock,,,No,0.0,A,2023-04-20T11:07:36.993,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34209346,Aglaonema,Fruits and Vegetables,Flowers,Flowers,,,20.08,20.08,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:35.067,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34209354,Aglaonema,Fruits and Vegetables,Flowers,Flowers,,,25.04,25.04,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:35.473,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34209356,Aglaonema,Fruits and Vegetables,Flowers,Flowers,,,30.95,30.95,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:35.473,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L28333167,Aglaonema,Fruits and Vegetables,Flowers,Flowers,,,24.84,24.84,Each,1.0,p,,Stock,,,No,0.0,A,2022-08-22T08:13:17.917,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L28333170,Aglaonema,Fruits and Vegetables,Flowers,Flowers,,,18.63,18.63,Each,1.0,p,,Stock,,,No,0.0,A,2022-08-22T08:13:17.933,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L28333171,Aglaonema,Fruits and Vegetables,Flowers,Flowers,,,18.63,18.63,Each,1.0,p,,Stock,,,No,0.0,A,2022-08-22T08:13:17.933,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L28333172,Aglaonema,Fruits and Vegetables,Flowers,Flowers,,,18.63,18.63,Each,1.0,p,,Stock,,,No,0.0,A,2022-08-22T08:13:17.933,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34209358,Aglaonema  Crete,Fruits and Vegetables,Flowers,Flowers,,,21.07,21.07,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:35.49,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L29400675,Aglaonema  Cutlass,Fruits and Vegetables,Flowers,Flowers,,,15.12,15.12,Each,1.0,p,,Stock,,,No,0.0,A,2022-10-07T08:03:26.93,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34209359,Aglaonema  Cutlass,Fruits and Vegetables,Flowers,Flowers,,,18.1,18.1,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:35.503,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34209361,Aglaonema  Maria,Fruits and Vegetables,Flowers,Flowers,,,18.1,18.1,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:35.503,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34209360,Aglaonema  Maria Christina,Fruits and Vegetables,Flowers,Flowers,,,18.1,18.1,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:35.503,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34209362,Aglaonema  Stripes,Fruits and Vegetables,Flowers,Flowers,,,30.95,30.95,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:35.52,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34209363,Aglaonema  White Joy,Fruits and Vegetables,Flowers,Flowers,,,29.74,29.74,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:35.52,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L29400677,Aglaonema Comm Silver Queen,Fruits and Vegetables,Flowers,Flowers,,,13.88,13.88,Each,1.0,p,,Stock,,,No,0.0,A,2022-10-07T08:03:26.947,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L31840309,Aglaonema Jubilee Compacta,Fruits and Vegetables,Flowers,Flowers,,,21.47,21.47,Each,1.0,p,,Stock,,,No,0.0,A,2023-03-09T14:40:32.423,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L31840311,Aglaonema Lemon Mint,Fruits and Vegetables,Flowers,Flowers,,,20.01,20.01,Each,1.0,p,,Stock,,,No,0.0,A,2023-03-09T14:40:32.44,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
2463000,Aleo Vera Peeled,Fruits and Vegetables,Herbs Spices and Cubes,Herbs,Greens Products,,3.5,3.5,Each,1.0,p,,Stock,,,No,0.0,A,2018-09-14T13:20:45.13,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0120/2463000.jpg,fruitsandvegetables
2460356,Aleovera Leave,Fruits and Vegetables,Vegetables,Weighted Vegetables,Greens Products,,6.19,6.19,Each,1.0,kg,,Weighted,,,No,0.0,A,2021-02-09T16:01:39.423,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0401/2460356.jpg,fruitsandvegetables
L31849601,Aloc Cu Red Secret,Fruits and Vegetables,Flowers,Flowers,,,14.66,14.66,Each,1.0,p,,Stock,,,No,0.0,A,2023-03-09T14:40:32.517,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34217543,Aloc Cucullata,Fruits and Vegetables,Flowers,Flowers,,,63.51,63.51,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:35.457,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34217544,Aloc Cucullata,Fruits and Vegetables,Flowers,Flowers,,,105.59,105.59,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:35.52,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34217671,Aloc Cucullata,Fruits and Vegetables,Flowers,Flowers,,,42.24,42.24,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:35.537,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L29410799,Aloc Cucullata,Fruits and Vegetables,Flowers,Flowers,,,69.34,69.34,Each,1.0,p,,Stock,,,No,0.0,A,2022-10-07T08:03:26.947,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34217651,Aloc Lauterbachiana,Fruits and Vegetables,Flowers,Flowers,,,14.07,14.07,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:35.537,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34217620,Aloc Macrorrhizos,Fruits and Vegetables,Flowers,Flowers,,,15.13,15.13,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:36.363,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L32549268,Aloc Ov,Fruits and Vegetables,Flowers,Flowers,,,7.04,7.04,Each,1.0,p,,Stock,,,No,0.0,A,2023-04-20T11:07:37.007,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34217660,Aloc Ov,Fruits and Vegetables,Flowers,Flowers,,,19.35,19.35,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:36.38,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
2460417,Cucumbers Forgen,Fruits and Vegetables,Vegetables,Cucumber,,,4.23,4.23,Each,1.0,p,,Weighted,,,No,0.0,A,2018-09-14T13:17:09.257,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0117/2460417.jpg,fruitsandvegetables
2460602,Cucumbers Sticks,Fruits and Vegetables,Vegetables,Other Vegetables,,,2.95,2.95,Each,1.0,p,,Stock,,,No,0.0,A,2020-10-09T12:57:43.49,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1257/2460602.jpg,fruitsandvegetables
L34217906,Cupr Ma Goldc Vormen,Fruits and Vegetables,Flowers,Flowers,,,14.07,14.07,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:37.457,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L32557840,Cupr Ma Goldc Wilma,Fruits and Vegetables,Flowers,Flowers,,,5.86,5.86,Each,1.0,p,,Stock,,,No,0.0,A,2023-04-20T11:07:37.133,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34217905,Cupr Ma Goldc Wilma,Fruits and Vegetables,Flowers,Flowers,,,9.24,9.24,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:37.457,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L32549289,Cupressus Macro Goldcrest Wilma,Fruits and Vegetables,Flowers,Flowers,,,16.06,16.06,Each,1.0,p,,Stock,,,No,0.0,A,2023-04-20T11:07:37.133,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
2460327,Cut Beans,Fruits and Vegetables,Beans Peas and Sprouts,Beans,,,12.63,12.63,Each,1.0,kg,,Weighted,,,No,0.0,A,2018-09-20T13:53:34.063,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0153/2460327.jpg,fruitsandvegetables
L31840361,Cycas Revoluta,Fruits and Vegetables,Flowers,Flowers,,,28.87,28.87,Each,1.0,p,,Stock,,,No,0.0,A,2023-03-09T14:40:34.517,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L31840362,Cycas Revoluta,Fruits and Vegetables,Flowers,Flowers,,,37.05,37.05,Each,1.0,p,,Stock,,,No,0.0,A,2023-03-09T14:40:34.517,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L31849551,Cycl Gr Hal Curly,Fruits and Vegetables,Flowers,Flowers,,,8.35,8.35,Each,1.0,p,,Stock,,,No,0.0,A,2023-03-09T14:40:34.533,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L31849528,Dieff Camilla,Fruits and Vegetables,Flowers,Flowers,,,6.53,6.53,Each,1.0,p,,Stock,,,No,0.0,A,2023-03-09T14:40:34.533,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L28333263,Dieffenbachia Seg. 'tropic Snow',Fruits and Vegetables,Flowers,Flowers,,,37.26,37.26,Each,1.0,p,,Stock,,,No,0.0,A,2022-08-22T08:13:19.657,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
2460054,Dill In Pot,Fruits and Vegetables,Herbs Spices and Cubes,Herbs,Greens Products,,4.2,4.2,Each,1.0,p,,Stock,,,No,0.0,A,2022-04-19T16:16:52.14,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
2460792,Doctor Green Juice,Fruits and Vegetables,Herbs Spices and Cubes,Herbs,Greens Products,,4.5,4.5,Each,1.0,p,,Stock,,,No,0.0,A,2021-10-08T13:07:22.18,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
3333340000230,Doreoc Special Frites 2.5kg,Fruits and Vegetables,Vegetables,Other Vegetables,,,2.95,2.95,Each,0.0,,,Stock,,,No,0.0,A,2018-09-20T13:59:21.607,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0159/3333340000230.jpg,fruitsandvegetables
L28338307,Dra De Lemon Lime,Fruits and Vegetables,Flowers,Flowers,,,16.23,16.23,Each,1.0,p,,Stock,,,No,0.0,A,2022-08-22T08:13:19.69,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34217476,Dra De Lemon Lime,Fruits and Vegetables,Flowers,Flowers,,,16.6,16.6,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:37.49,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34217490,Dra De Lemon Lime,Fruits and Vegetables,Flowers,Flowers,,,17.24,17.24,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:37.503,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34217406,Dra De White Stripe,Fruits and Vegetables,Flowers,Flowers,,,69.84,69.84,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:38.003,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
L34217407,Dra Frag Cintho Lemo,Fruits and Vegetables,Flowers,Flowers,,,38.28,38.28,Each,1.0,p,,Stock,,,No,0.0,A,2023-08-08T09:37:38.02,GREENS,127.0.0.1,1160,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,fruitsandvegetables
