PART_NUMBER,PART_DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,GROUP_5,SALES_PRICE,SALES_PRICE_RRP,UOM,SIZE_VALUE,SIZE_UOM,PART_NOTES,ITEM_TYPE,CUSTOM_WEIGHT,COUNTRY_OF_ORIGIN,BCRS,MULTIPLIER,SYSTEM_STATUS,SYSTEM_DATE,SYSTEM_USERNAME,SYSTEM_IP,TOTAL_RECORDS,XTRA_RECORD_DETAILS,XTRA_RECORD_SELECTION,XTRA_PAGE_NUMBER,XTRA_SORT_NUMBER,XTRA_TOTAL_PAGES,XTRA_TOTAL_RECORDS,RESPONSE_CODE,RESPONSE_MESSAGE,Image,scrape_tag
8010059003084,.30cm Round Bowl 8010059003 Hei0308,Household,Household Care and Essentials,Kitchen Essentials,,,2.67,2.75,Each,1.0,p,,Non Stock,,,No,0.0,A,2018-09-20T13:44:06.257,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0144/8010059003084.jpg,household
5013922055770,10 Pumpkin Paper Plates,Household,Seasonal Items,Halloween,,,2.84,2.99,Each,1.0,p,,Non Stock,,,No,0.0,A,2023-10-05T07:52:02.203,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,household
5032227449077,1001 Carpet Stain Remover 500ml,Household,Household Care and Essentials,Air Freshners,1001,,4.7985,5.03,Each,0.5,l,,Stock,,,No,0.0,A,2020-11-28T11:59:30.87,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1159/5032227449077.jpg,household
5032227448292,1001 Pet Stain Remover 500ml,Household,Household Care and Essentials,Carpet Cleaners,1001,,4.4625,4.63,Each,0.5,l,,Stock,,,No,0.0,A,2020-06-23T14:01:14.18,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0201/5032227448292.jpg,household
5032227448254,1001 Shampoo 450ml,Household,Household Care and Essentials,Carpet Cleaners,1001,,3.99,4.63,Each,0.45,l,,Stock,,,No,0.0,A,2018-09-14T13:14:35.45,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0114/5032227448254.jpg,household
8424001414789,"10x9,5x13cm Pumpkin",Household,Seasonal Items,Halloween,,,5.0,5.0,Each,1.0,p,,Non Stock,,,No,0.0,A,2022-10-20T09:48:08.957,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0948/8424001414789.jpg,household
8424001414758,11.5x10x20cm Witch,Household,Seasonal Items,Halloween,,,8.5,8.5,Each,1.0,p,,Non Stock,,,No,0.0,A,2022-10-20T09:48:08.973,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0948/8424001414758.jpg,household
5000263482303,12' Pizza Tray [pr48230],Household,Household Care and Essentials,Kitchen Essentials,,,9.45,9.95,Each,1.0,p,,Non Stock,,,No,0.0,A,2022-09-16T12:03:44.697,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1203/5000263482303.jpg,household
8424001414734,12x10x21cm Witch White,Household,Seasonal Items,Halloween,,,10.0,10.0,Each,1.0,p,,Non Stock,,,No,0.0,A,2022-10-20T09:48:08.987,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,household
3838399208755,16x12cm Bird,Household,Seasonal Items,Easter Items,,,4.5,4.5,Each,1.0,p,,Non Stock,,,No,0.0,A,2023-03-29T10:52:45.793,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/noimages.jpg,household
883336401273,20cm Springform 88333640127 Ppl3gd100,Household,Household Care and Essentials,Kitchen Essentials,Pedrini,,9.98,10.5,Each,1.0,p,,Non Stock,,,No,0.0,A,2018-09-20T13:51:20.133,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0151/883336401273.jpg,household
5027148054417,22cm Jack Bear Asstd,Household,Seasonal Items,Valentines,,,12.82,13.5,Each,1.0,p,,Non Stock,,,No,0.0,A,2018-12-28T15:31:53.04,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0331/5027148054417.jpg,household
5027148009646,25cm Cookie Bear,Household,Seasonal Items,Valentines,,,27.08,28.5,Each,1.0,p,,Non Stock,,,No,0.0,A,2018-09-20T13:59:41.42,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0159/5027148009646.jpg,household
8424001414710,25cm Witch Black,Household,Seasonal Items,Halloween,,,14.0,14.0,Each,1.0,p,,Non Stock,,,No,0.0,A,2022-10-20T09:48:09.003,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0948/8424001414710.jpg,household
883336401280,28cm Springform 88333640128 Ppl3gd103,Household,Household Care and Essentials,Kitchen Essentials,,,15.1,15.89,Each,1.0,p,,Non Stock,,,No,0.0,A,2020-01-20T10:29:22.2,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1029/883336401280.jpg,household
8010059017111,"2lt.,rect Food/s 8010059017 Hei1711",Household,Household Care and Essentials,Kitchen Essentials,,,3.64,3.75,Each,1.0,p,,Non Stock,,,No,0.0,A,2018-09-20T13:44:07.027,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0144/8010059017111.jpg,household
8010059003336,30cm Sq Bowl 8010059003336 Hei0333,Household,Household Care and Essentials,Kitchen Essentials,,,3.25,3.35,Each,1.0,p,,Non Stock,,,No,0.0,A,2018-09-20T13:44:06.273,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0144/8010059003336.jpg,household
8010059002940,32cm Round Bowl 80100590029 Hei0294,Household,Household Care and Essentials,Kitchen Essentials,,,3.01,3.1,Each,1.0,p,,Non Stock,,,No,0.0,A,2018-09-20T13:44:38.94,GREENS,127.0.0.1,6449,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0144/8010059002940.jpg,household
