PART_NUMBER,PART_DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,GROUP_5,SALES_PRICE,SALES_PRICE_RRP,UOM,SIZE_VALUE,SIZE_UOM,PART_NOTES,ITEM_TYPE,CUSTOM_WEIGHT,COUNTRY_OF_ORIGIN,BCRS,MULTIPLIER,SYSTEM_STATUS,SYSTEM_DATE,SYSTEM_USERNAME,SYSTEM_IP,TOTAL_RECORDS,XTRA_RECORD_DETAILS,XTRA_RECORD_SELECTION,XTRA_PAGE_NUMBER,XTRA_SORT_NUMBER,XTRA_TOTAL_PAGES,XTRA_TOTAL_RECORDS,RESPONSE_CODE,RESPONSE_MESSAGE,Image,scrape_tag
7610313424795,A.vogel Herbamare 250g,Organic,Dietary Food,Dietary Food,,,9.24,9.9,Each,0.25,kg,,Stock,,,No,0.0,A,2018-09-14T13:20:49.13,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0120/7610313424795.jpg,organic
7610313426706,A.vogel Herbamare Original 125g,Organic,Dietary Food,Dietary Food,,,6.82,7.3,Each,0.13,kg,,Stock,,,No,0.0,A,2018-09-14T13:20:43.097,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0120/7610313426706.jpg,organic
5999885840502,Abso Cinnamon Swirl Peanut Butter Spread 200g,Organic,Dietary Food,Dietary Food,,,6.72,7.0,Each,0.2,kg,,Stock,,,No,0.0,A,2023-05-19T11:37:54.387,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1137/5999885840502.jpg,organic
5999885840854,Abso Dessert Bar Almonds 35g,Organic,Dietary Food,Dietary Food,,,1.44,1.5,Each,0.04,kg,,Stock,,,No,0.0,A,2023-05-19T11:37:54.31,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1137/5999885840854.jpg,organic
5999885840021,Abso Protein Shake Strawberry 500g,Organic,Dietary Food,Dietary Food,,,21.6,22.5,Each,0.5,kg,,Stock,,,No,0.0,A,2023-05-19T11:37:54.37,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1137/5999885840021.jpg,organic
5999885840366,Abso Zero Banoffee Protein Bar 40g,Organic,Dietary Food,Dietary Food,,,1.9,2.0,Each,0.04,kg,,Stock,,,No,0.0,A,2022-12-05T13:22:56.757,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0122/5999885840366.jpg,organic
5999885840588,Abso Zero Double Chocolate Brownie Protein Bar 40g,Organic,Dietary Food,Dietary Food,,,1.9,2.0,Each,0.04,kg,,Stock,,,No,0.0,A,2022-12-05T13:22:56.757,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0122/5999885840588.jpg,organic
5999885840724,Abso Zero Peanut Butter Protein Bar 40g,Organic,Dietary Food,Dietary Food,,,1.9,2.0,Each,0.04,kg,,Stock,,,No,0.0,A,2022-12-05T13:22:56.773,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0122/5999885840724.jpg,organic
5999885840717,Abso Zero Salted Caramel Protein Bar 40g,Organic,Dietary Food,Dietary Food,,,1.9,2.0,Each,0.04,kg,,Stock,,,No,0.0,A,2022-12-05T13:22:56.773,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0122/5999885840717.jpg,organic
5999885840601,Abso Zero Strawberry Protein Bar 40g,Organic,Dietary Food,Dietary Food,,,1.9,2.0,Each,0.04,kg,,Stock,,,No,0.0,A,2022-12-05T13:22:56.79,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0122/5999885840601.jpg,organic
5999885840595,Abso Zero Vanilla Protein Bar 40g,Organic,Dietary Food,Dietary Food,,,1.9,2.0,Each,0.04,kg,,Stock,,,No,0.0,A,2022-12-05T13:22:56.793,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0122/5999885840595.jpg,organic
8437016108130,Alasature Protein Doughnut Pistacchio 75g,Organic,Dietary Food,Dietary Food,,,2.5,2.69,Each,0.08,kg,,Stock,,,No,0.0,A,2022-07-12T11:03:53.453,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1103/8437016108130.jpg,organic
8437016108161,Alasature Protein Doughnuts Cookies N Cream 75g,Organic,Dietary Food,Dietary Food,,,2.5,2.69,Each,0.08,kg,,Stock,,,No,0.0,A,2022-07-12T11:03:53.47,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1103/8437016108161.jpg,organic
8437016108192,Alasature Protein Doughnuts Cookies N' Cream 75g,Organic,Dietary Food,Dietary Food,,,2.5,2.69,Each,0.08,kg,,Stock,,,No,0.0,A,2022-07-12T11:03:53.5,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1103/8437016108192.jpg,organic
8437016108185,Alasature Protein Doughnuts Kinder 75g,Organic,Dietary Food,Dietary Food,,,2.5,2.69,Each,0.08,kg,,Stock,,,No,0.0,A,2022-07-12T11:03:53.487,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1103/8437016108185.jpg,organic
4018722342625,Alb Gold Chickpea Pasta 300g,Organic,Dietary Food,Gluten Free Products,,,3.69,3.9,Each,0.3,kg,,Stock,,,No,0.0,A,2019-03-27T14:32:24.793,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0232/4018722342625.jpg,organic
4018722000808,Alb Gold Gf Organic Red Lentil Fusilli,Organic,Dietary Food,Gluten Free Products,,,3.69,3.9,Each,1.0,p,,Stock,,,No,0.0,A,2022-01-26T12:04:26.227,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1204/4018722000808.jpg,organic
8009004901285,Alce Nero Organic Arabic Roasted Coffee 500g,Organic,Dietary Food,Organic Food,,,15.58,16.27,Each,0.5,kg,,Stock,,,No,0.0,A,2022-09-29T10:05:37.31,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1005/8009004901285.jpg,organic
8009004811355,Alce Nero Organic Cooked Green Peas 300g,Organic,Dietary Food,Dietary Food,,,2.68,2.8,Each,0.3,kg,,Stock,,,No,0.0,A,2022-09-29T10:05:38.233,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1005/8009004811355.jpg,organic
8009004809048,Alce Nero Organic Dried Tomto Ex Ver Oil 330g,Organic,Dietary Food,Dietary Food,,,9.56,9.98,Each,0.33,kg,,Stock,,,No,0.0,A,2022-09-29T10:05:38.547,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1005/8009004809048.jpg,organic
8009004120037,Alce Nero Organic Fusilli Farro Integrale 500g,Organic,Dietary Food,Dietary Food,,,3.54,3.7,Each,0.5,kg,,Stock,,,No,0.0,A,2022-09-29T10:05:38.593,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1005/8009004120037.jpg,organic
8009004812161,Alce Nero Organic Ginger & Lemon Herb Tea 20x35g,Organic,Dietary Food,Dietary Food,,,3.27,3.41,Each,0.04,p,,Stock,,,No,0.0,A,2022-09-29T10:05:38.657,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1005/8009004812161.jpg,organic
8009004901155,Alce Nero Organic Green Tea 20x35g,Organic,Dietary Food,Dietary Food,,,2.91,3.04,Each,1.0,p,,Stock,,,No,0.0,A,2022-09-29T10:05:38.687,GREENS,127.0.0.1,2027,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1005/8009004901155.jpg,organic
