PART_NUMBER,PART_DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,GROUP_5,SALES_PRICE,SALES_PRICE_RRP,UOM,SIZE_VALUE,SIZE_UOM,PART_NOTES,ITEM_TYPE,CUSTOM_WEIGHT,COUNTRY_OF_ORIGIN,BCRS,MULTIPLIER,SYSTEM_STATUS,SYSTEM_DATE,SYSTEM_USERNAME,SYSTEM_IP,TOTAL_RECORDS,XTRA_RECORD_DETAILS,XTRA_RECORD_SELECTION,XTRA_PAGE_NUMBER,XTRA_SORT_NUMBER,XTRA_TOTAL_PAGES,XTRA_TOTAL_RECORDS,RESPONSE_CODE,RESPONSE_MESSAGE,Image,scrape_tag
4048422102281,8in1 Training Pads Large 30pcs,Pets,Pet Food,Other Pet Food,,,12.84,13.99,Each,30.0,p,,Stock,,,No,0.0,A,2023-07-17T12:23:24.443,GREENS,127.0.0.1,1280,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1223/4048422102281.jpg,pets
4048422102250,8in1 Training Pads Small 14pcs,Pets,Pet Food,Other Pet Food,,,6.42,6.99,Each,14.0,p,,Stock,,,No,0.0,A,2023-07-17T12:23:24.427,GREENS,127.0.0.1,1280,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1223/4048422102250.jpg,pets
8005852119315,Adoc Day By Day Cat Food Chicken & Ham 875gr,Pets,Pet Food,Cat Tinned and Pouch Food,,,0.65,0.85,Each,0.09,kg,,Stock,,,No,0.0,A,2022-10-11T08:04:09.897,GREENS,127.0.0.1,1280,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0804/8005852119315.jpg,pets
8005852119322,Adoc Day By Day Cat Food Sterilized Chciken 85grbs,Pets,Pet Food,Cat Tinned and Pouch Food,,,0.65,0.85,Each,0.09,kg,,Stock,,,No,0.0,A,2022-10-11T08:04:09.74,GREENS,127.0.0.1,1280,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0804/8005852119322.jpg,pets
8005852119728,Adoc Day By Day Dog Food Beef 100gr,Pets,Pet Food,Dog Tinned and Pouch Food,,,0.65,0.85,Each,0.1,kg,,Stock,,,No,0.0,A,2022-10-11T08:04:09.977,GREENS,127.0.0.1,1280,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0804/8005852119728.jpg,pets
8005852119346,Adoc Day By Day For Kittens W/chicken 85gr,Pets,Pet Food,Cat Tinned and Pouch Food,,,0.65,0.85,Each,0.09,kg,,Stock,,,No,0.0,A,2022-10-11T08:04:09.993,GREENS,127.0.0.1,1280,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0804/8005852119346.jpg,pets
7613034916693,Adventuros Wild Buffalo Flavour Dog Treat Sticks 120g,Pets,Pet Food,Other Pet Food,,,2.64,3.0,Each,0.12,kg,,Stock,,,No,0.0,A,2018-09-20T14:00:01.7,GREENS,127.0.0.1,1280,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0200/7613034916693.jpg,pets
8052190990076,Amore Mio Salviettine Cani E Gatti X 36 Pz.,Pets,Pet Food,Other Pet Food,Amore Mio,,2.55,3.25,Each,1.0,p,,Stock,,,No,0.0,A,2022-02-02T12:08:11.61,GREENS,127.0.0.1,1280,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1208/8052190990076.jpg,pets
8016040106352,Aquarium Small 3ltr,Pets,Pet Items,Other Pet Food,,,5.2847,5.3926,Each,0.0,,,Non Stock,,,No,0.0,A,2018-09-20T13:57:14.963,GREENS,127.0.0.1,1280,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0157/8016040106352.jpg,pets
8018189600012,Aquasana 250ml,Pets,Pet Items,Other Pet Food,,,4.9,5.0,Each,0.0,,,Non Stock,,,No,0.0,A,2018-09-20T13:57:08.83,GREENS,127.0.0.1,1280,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0157/8018189600012.jpg,pets
