PART_NUMBER,PART_DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,GROUP_5,SALES_PRICE,SALES_PRICE_RRP,UOM,SIZE_VALUE,SIZE_UOM,PART_NOTES,ITEM_TYPE,CUSTOM_WEIGHT,COUNTRY_OF_ORIGIN,BCRS,MULTIPLIER,SYSTEM_STATUS,SYSTEM_DATE,SYSTEM_USERNAME,SYSTEM_IP,TOTAL_RECORDS,XTRA_RECORD_DETAILS,XTRA_RECORD_SELECTION,XTRA_PAGE_NUMBER,XTRA_SORT_NUMBER,XTRA_TOTAL_PAGES,XTRA_TOTAL_RECORDS,RESPONSE_CODE,RESPONSE_MESSAGE,Image,scrape_tag
5352202167261,1565 Victory Lager Beer Cans 500ml,Wine Cellar,Beer and Ciders,Beers,,,1.18,1.26,Each,0.5,l,,Stock,,,Yes,1.0,A,2020-03-02T10:25:35.68,GREENS,127.0.0.1,1919,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1025/5352202167261.jpg,winecellar
9311220005517,19 Crimes Cabernet Sauvignon 750ml,Wine Cellar,Wines,Foreign Wines,,,10.55,10.99,Each,0.75,l,,Stock,,,No,0.0,A,2018-10-26T11:22:15.9,GREENS,127.0.0.1,1919,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1122/9311220005517.jpg,winecellar
9311220005685,19 Crimes Chardonnay 750ml,Wine Cellar,Wines,Foreign Wines,,,10.55,10.99,Each,0.75,l,,Stock,,,No,0.0,A,2018-10-26T11:22:15.913,GREENS,127.0.0.1,1919,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1122/9311220005685.jpg,winecellar
9311220004343,19 Crimes Red Wine 750ml,Wine Cellar,Wines,Foreign Wines,,,10.55,10.99,Each,0.75,l,,Stock,,,No,0.0,A,2018-10-26T11:22:15.9,GREENS,127.0.0.1,1919,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1122/9311220004343.jpg,winecellar
9311220008358,19 Crimes Snoop Dog Cali Red 750ml,Wine Cellar,Wines,Foreign Wines,,,12.47,12.99,Each,0.75,l,,Stock,,,No,0.0,A,2022-03-09T14:07:05.377,GREENS,127.0.0.1,1919,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0207/9311220008358.jpg,winecellar
9311220008860,19 Crimes Snoop Dog Cali Rose 750ml,Wine Cellar,Wines,Foreign Wines,,,12.47,12.99,Each,0.75,l,,Stock,,,No,0.0,A,2023-04-18T11:21:41.63,GREENS,127.0.0.1,1919,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1121/9311220008860.jpg,winecellar
9311220005180,19 Crimes The Banished 750ml,Wine Cellar,Wines,Foreign Wines,,,11.37,11.99,Each,0.75,l,,Stock,,,No,0.0,A,2019-02-26T10:34:33.177,GREENS,127.0.0.1,1919,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1034/9311220005180.jpg,winecellar
9311220005661,19 Crimes The Uprising 750ml,Wine Cellar,Wines,Foreign Wines,,,11.37,11.99,Each,0.75,l,,Stock,,,No,0.0,A,2019-02-26T10:34:33.193,GREENS,127.0.0.1,1919,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/1034/9311220005661.jpg,winecellar
8436036370008,200 Monges Reserva Doc Rioja 75cl,Wine Cellar,Wines,Foreign Wines,,,49.5,60.0,Each,0.75,l,,Stock,,,No,0.0,A,2021-08-10T16:27:52.89,GREENS,127.0.0.1,1919,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0427/8436036370008.jpg,winecellar
8720039762381,3 Horses Bottiglia Apple Malt 330ml,Wine Cellar,Beer and Ciders,Beers,,,1.49,1.75,Each,0.33,l,,Stock,,,Yes,1.0,A,2023-07-05T09:52:51.04,GREENS,127.0.0.1,1919,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0952/8720039762381.jpg,winecellar
8720039762350,3 Horses Bottiglia Classic Malt 330ml,Wine Cellar,Beer and Ciders,Beers,,,1.49,1.75,Each,0.33,l,,Stock,,,Yes,1.0,A,2023-07-05T09:52:51.027,GREENS,127.0.0.1,1919,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0952/8720039762350.jpg,winecellar
8720039762411,3 Horses Bottiglia Fragola Malt 330ml,Wine Cellar,Beer and Ciders,Beers,,,1.49,1.75,Each,0.33,l,,Stock,,,Yes,1.0,A,2023-07-05T09:52:51.04,GREENS,127.0.0.1,1919,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0952/8720039762411.jpg,winecellar
8720039762442,3 Horses Bottiglia Melograno 330ml,Wine Cellar,Beer and Ciders,Beers,,,1.49,1.75,Each,0.33,l,,Stock,,,Yes,1.0,A,2023-07-05T09:52:51.057,GREENS,127.0.0.1,1919,,,0.0,0.0,0.0,0.0,0,,https://www.greens.com.mt/media/products/0952/8720039762442.jpg,winecellar
