PART_NUMBER,PART_DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,GROUP_5,SALES_PRICE,SALES_PRICE_RRP,UOM,SIZE_VALUE,SIZE_UOM,ITEM_TYPE,CUSTOM_WEIGHT,COUNTRY_OF_ORIGIN,BCRS,Image,scrape_tag
2481030,Affumicato Sausage,Butcher,Sausages,Fresh Sausages,,Refrigerated,8.99,8.99,Each,1.0,p,Weighted,,,No,https://www.greens.com.mt/media/products/0133/2481030.jpg,butcher
2481566,Aged Canada Striploin,Butcher,Beef,Fresh Beef,,Refrigerated,59.99,59.99,Each,1.0,kg,Weighted,500;1000;1500;2000;2500,Canada,No,https://www.greens.com.mt/media/products/0708/2481566.jpg,butcher
8008110132132,Aia Spinacine 300gr,Butcher,Chicken,Frozen Chicken,Aia,Refrigerated,2.44,2.45,Each,0.3,kg,Stock,,,No,https://www.greens.com.mt/media/products/0322/8008110132132.jpg,butcher
8006473905981,Amadori Bio Chicken Hamburger 200g,Butcher,Beef,Fresh Beef,Amadori,Refrigerated,5.2,5.78,Each,0.2,kg,Stock,,,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
8006473904304,Amadori Bio Chicken Polpettine (meatballs) 240g,Butcher,Chicken,Fresh Chicken,Amadori,Refrigerated,5.2,5.51,Each,0.24,kg,Stock,,,No,https://www.greens.com.mt/media/products/0433/8006473904304.jpg,butcher
8006473905998,Amadori Birbe Veggy 220g,Butcher,Other Butcher Items,Othe Fresh Butcher Items,Amadori,Refrigerated,2.99,3.41,Each,0.22,kg,Stock,,,No,https://www.greens.com.mt/media/products/0103/8006473905998.jpg,butcher
8006473902805,Amadori Bocconcini Di Pollo ”qualita 10+” 300g,Butcher,Chicken,Fresh Chicken,Amadori,Refrigerated,4.15,4.99,Each,0.3,kg,Stock,,,No,https://www.greens.com.mt/media/products/0433/8006473902805.jpg,butcher
8006473906193,Amadori Buona Domenica 700g,Butcher,Beef,Fresh Beef,Amadori,Refrigerated,8.35,8.35,Each,0.7,kg,Stock,,,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
8006473029540,Amadori Buona Domenica Ricotta & Spinach 700g,Butcher,Chicken,Fresh Chicken,Amadori,Refrigerated,8.35,8.35,Each,0.7,kg,Stock,,,No,https://www.greens.com.mt/media/products/0359/8006473029540.jpg,butcher
8006473900924,Amadori Buona Domenica Scamorza & Procini 700g,Butcher,Chicken,Fresh Chicken,Amadori,Refrigerated,8.35,8.35,Each,0.7,kg,Stock,,,No,https://www.greens.com.mt/media/products/0359/8006473900924.jpg,butcher
8006473029533,Amadori Buona Domenica Spek & Formaggio 700g,Butcher,Chicken,Fresh Chicken,Amadori,Refrigerated,8.35,8.35,Each,0.7,kg,Stock,,,No,https://www.greens.com.mt/media/products/0359/8006473029533.jpg,butcher
8006473029564,Amadori Chicken Fillets 220g,Butcher,Chicken,Fresh Chicken,Amadori,Refrigerated,2.5,2.73,Each,0.22,kg,Stock,,,No,https://www.greens.com.mt/media/products/0732/8006473029564.jpg,butcher
8006473901563,Amadori Chicken Hamburger 204g,Butcher,Beef,Fresh Beef,Amadori,Refrigerated,2.2,2.65,Each,0.2,kg,Stock,,,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
8006473029465,Amadori Chicken Nuggets 300g,Butcher,Chicken,Fresh Chicken,Amadori,Refrigerated,3.68,4.72,Each,0.3,p,Stock,,,No,https://www.greens.com.mt/media/products/0732/8006473029465.jpg,butcher
8006473905011,Amadori Chicken With Smoked Paprika 500g,Butcher,Chicken,Fresh Chicken,Amadori,Refrigerated,5.2,5.78,Each,0.5,kg,Stock,,,No,https://www.greens.com.mt/media/products/0431/8006473905011.jpg,butcher
8006473902799,Amadori Chickito Mex 300g,Butcher,Chicken,Fresh Chicken,Amadori,Refrigerated,4.5,5.34,Each,0.3,kg,Stock,,,No,https://www.greens.com.mt/media/products/0941/8006473902799.jpg,butcher
8006473029557,Amadori Cordon Bleu 250g,Butcher,Chicken,Fresh Chicken,Amadori,Refrigerated,3.68,4.72,Each,0.25,p,Stock,,,No,https://www.greens.com.mt/media/products/0732/8006473029557.jpg,butcher
