product_id,product,salesprice,salespricerrp,sizevalue,sizeunit,isWeighted,bcrs,country,category,labels
19754,Salted Anchovies,37.8,37.8,1.0,kg,True,False,,delicatessen,Antipasto; Antipasto Food; Refrigerated; Delicatessen
19756,"Cheddar With Apple, Cinnamon And Raisin",26.0,26.0,1.0,kg,True,False,United Kingdom,delicatessen,Cheeses; Fresh Cheese; Refrigerated; Delicatessen
19762,Maltese Smoked Sausage,8.61,8.61,1.0,kg,True,False,Malta,delicatessen,Fresh Ham and Salami; Ham and Salami; Refrigerated; Delicatessen
19769,Fiorucci Salame Ungherese,16.28,16.28,1.0,kg,True,False,Italia,delicatessen,Fresh Ham and Salami; Ham and Salami; Refrigerated; Delicatessen
19782,Beaufort Savoie,49.98,49.98,1.0,kg,True,False,France,delicatessen,Cheeses; Fresh Cheese; Refrigerated; Delicatessen
19798,Galbanone,16.43,16.43,1.0,kg,True,False,Italia,delicatessen,Cheeses; Fresh Cheese; Refrigerated; Delicatessen
19802,Latteria Montello Stracchino Nonno Nanni 125g,3.52,3.85,0.13,kg,False,False,,delicatessen,Cheeses; Deli Cheese; Delicatessen; Latteria Montello
19812,Bo F Di Castag Cheese,68.25,68.25,1.0,p,True,False,,delicatessen,Deli Seasonal Goods; Delicatessen; Seasonal
19838,Fior Di Vita Cheddar Garlic & Chive 120g,2.47,2.55,0.12,kg,False,False,,delicatessen,Cheeses; Refrigerated; Cheddar; Fior Di Vita; Delicatessen
19841,Zanetti Grana Flakes Cut 100g,2.5,2.59,0.1,kg,False,False,,delicatessen,Zinetti; Cheeses; Deli Cheese; Delicatessen
19869,Inalpi Fettine Grana Padano 150g,1.58,2.0,0.15,kg,False,False,,delicatessen,Cheeses; Refrigerated; Cheese Slices; Inalpi; Delicatessen
19885,Basiron Pesto Verde Cheese Slices 150g,3.37,3.5,0.15,kg,False,False,,delicatessen,Cheeses; Deli Cheese; Delicatessen
19887,Lardo Alle Erbe,15.62,15.62,1.0,p,True,False,Italia,delicatessen,Fresh Ham and Salami; Ham and Salami; Refrigerated; Delicatessen
19894,Negroni Golosino 3 X 250g,5.9,6.6,0.25,kg,False,False,,delicatessen,Negroni; Chilled Ham and Salami; Ham and Salami; Delicatessen
19905,Bayernland Edam Sliced 140g,2.33,2.35,0.14,kg,False,False,,delicatessen,Bayernland; Cheeses; Refrigerated; Cheese Slices; Delicatessen
19949,Coombe Castle Lancashire 200g,3.23,3.41,0.2,kg,False,False,,delicatessen,Cheeses; Deli Cheese; Delicatessen
19957,Lucky Cow Combi 200g,1.5,1.55,0.2,kg,False,False,,delicatessen,Cheeses; Feta Cheese; Delicatessen
19971,Vonk Cheese Slices Catering 800g,6.99,7.45,0.8,kg,False,False,,delicatessen,Cheeses; Refrigerated; Cheese Slices; Vonk; Delicatessen
19972,Lacey Light,20.53,20.53,1.0,kg,True,False,Finland,delicatessen,Cheeses; Fresh Cheese; Refrigerated; Delicatessen
19979,Ambrosi Pecorino Romano 200g,7.15,7.6,0.2,kg,False,False,,delicatessen,Cheeses; Delicatessen; Other Types of Cheese
20015,Vergeer Pasta Cheese 150g,2.67,2.69,0.15,kg,False,False,,delicatessen,Vergeer; Cheeses; Refrigerated; Cheese Slices; Delicatessen
20025,Proscuitto San Daniele Friulano,30.24,30.24,1.0,kg,True,False,Italia,delicatessen,Fresh Ham and Salami; Ham and Salami; Refrigerated; Delicatessen
20029,Prosciutto Cotto With Herbs,20.95,20.95,1.0,kg,True,False,Italia,delicatessen,Fresh Ham and Salami; Ham and Salami; Refrigerated; Delicatessen
20036,Ambrosi Pecorino Romano Fresh Grated 100g,4.57,4.85,0.1,kg,False,False,,delicatessen,Cheeses; Refrigerated; Parmessan; Delicatessen
20040,Ile De France Tartare Cote D'azur 100g,3.99,4.2,0.1,kg,False,False,,delicatessen,Cheeses; Delicatessen; Other Types of Cheese
20046,Glenstal Extra Mature Cheddar 200g,4.1,4.25,0.2,kg,False,False,,delicatessen,Cheeses; Refrigerated; Cheddar; Delicatessen
20054,Galbani.dolcelatte X150g,3.62,4.25,0.15,kg,False,False,,delicatessen,Mozzarella; Cheeses; Galbani; Refrigerated; Delicatessen
20064,Porminho Sandwich Ham 98% Low Fat,6.98,6.98,1.0,kg,True,False,Malta,delicatessen,Fresh Ham and Salami; Ham and Salami; Refrigerated; Delicatessen
20075,Vio Creamy Garlic & Herbs 150g,3.13,3.3,0.15,kg,False,False,,delicatessen,Cheeses; Delicatessen; Other Types of Cheese; VIOLIFE
