product_id,product,salesprice,salespricerrp,sizevalue,sizeunit,isWeighted,bcrs,country,category,labels
19735,Kiwi Small,4.75,4.75,1.0,kg,True,False,,fruitsandvegetables,Fruit; Kiwi; Fruits and Vegetables
19787,Aloc X Amazonica,16.18,16.18,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
19791,"Pineapple, Fennel & Ginger Juice",2.95,2.95,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
19833,Tofu/vegetable Kebab,1.25,1.25,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
19834,Aglaonema,23.6,23.6,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
19846,Pink Oyster Mushrooms,50.06,50.06,1.0,kg,True,False,,fruitsandvegetables,Weighted Vegetables; Fruits and Vegetables; Vegetables
19868,White Diced Onions 200g,0.99,0.99,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
19908,Peperomia,11.67,11.67,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
19913,Apple Wedges,0.98,0.98,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
19928,Aloc X Amazonica,52.99,52.99,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
19939,Calat Sanderiana,52.99,52.99,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
19948,Potatoes ( 4kg Bag ),4.8,4.8,1.0,p,False,False,,fruitsandvegetables,Potatoes; Fruits and Vegetables; Vegetables
19984,Rhubarb Per Kg,8.02,8.02,1.0,kg,True,False,,fruitsandvegetables,Weighted Vegetables; Fruits and Vegetables; Vegetables
20011,Coriander In Pot,4.13,4.13,1.0,p,False,False,,fruitsandvegetables,Herbs Spices and Cubes; Herbs; Fruits and Vegetables
