product_id,product,salesprice,salespricerrp,sizevalue,sizeunit,isWeighted,bcrs,country,category,labels
19481,Mlindo Blue Liquid 930ml,2.5,3.0,0.93,l,False,False,,household,Household Care and Essentials; All Purpose Cleaners; Mastro Lindo; Household
19483,Brown Watson Now I Can Read:stories For Boys,5.5,5.5,1.0,p,False,False,,household,Stationery; Household
19486,Sbc Hair Stylist Doll,11.99,24.0,1.0,p,False,False,,household,Toys; Household
19489,Lunch Cube Assorted,8.07,8.5,1.0,p,False,False,,household,Household Care and Essentials; Kitchen Essentials; SISTEMA; Household
19491,Collage Open Fem Conv,1.75,1.75,1.0,p,False,False,,household,Stationery; Household
19492,De Fonseca Winter Roma Top Ladie Bed Slippers,14.9,14.9,1.0,p,False,False,,household,Shoes; Footwear; Household
19497,Babylino Unisex Pants No5 10-16kg 26pcs,8.78,10.4,1.0,p,False,False,,household,Baby Care and Accessories; Babylino; Diapers / Nappies; Household
19499,Digital Kitchen Scales 500 G accura,33.61,34.3,1.0,p,False,False,,household,Household Care and Essentials; Kitchen Essentials; Household
19500,Chicco Breast Pads 30pcs,5.79,5.99,1.0,p,False,False,,household,Baby Accessories; Baby Care and Accessories; Chicco; Household
19501,Vivace Soft Conditioner White Tale 4l,3.36,3.79,4.0,l,False,False,,household,Laundry Products; Vivace; Laundry Detergent ; Household
19504,Heat Holders Ladies Lounge Socks Aucklandstripe Silver Grey,12.95,12.95,1.0,p,False,False,,household,Garments; Socks; Household
19508,Mustela Baby Massage Oil 100 Ml,8.99,8.99,0.1,l,False,False,,household,Baby Hygiene; Baby Care and Accessories; Mustela; Household
19509,Areon Wild,1.0,1.0,1.0,p,False,False,,household,Car Air Freshners; Car Products; Areon; Household
19511,Huggies Unisex Grande 15-30 Kg 34pcs,14.45,16.99,34.0,p,False,False,,household,Baby Care and Accessories; Huggies; Diapers / Nappies; Household
19515,Car Pride Screen Wash 1l,3.41,3.47,1.0,l,False,False,,household,Car Care; Car Products; Car Pride; Household
19516,My Beach Spirit Ladies Flip Flop Paisley,6.95,6.95,1.0,p,False,False,,household,Shoes; Footwear; Household
19519,Glade Sense & Spray  Mela E Cannella 18ml,3.95,5.15,0.02,l,False,False,,household,Household Care and Essentials; Air Freshners; Household; Glade
19520,Curlimals Bibi Bunny,23.74,24.99,1.0,p,False,False,,household,Toys; Household
19521,Bags Food/freezer Slide Seal 18x21cm 20pk X24,3.17,3.39,1.0,p,False,False,,household,Household Care and Essentials; Kitchen Essentials; Household
19526,"10x9,5x13cm Pumpkin",5.0,5.0,1.0,p,False,False,,household,Halloween; Seasonal Items; Household
19528,Men Thermal V/neck L/sleeve Vest Whitem,14.5,14.5,1.0,p,False,False,,household,Saffio; Garments; Underwear; Household
19529,Les Lavandieres Pietra Sgrassante 500g,7.24,7.98,0.5,kg,False,False,,household,Household Care and Essentials; All Purpose Cleaners; Household
19530,Hg Bathshine 500ml,5.76,5.91,0.5,l,False,False,,household,Hg; Bathroom Care and Essentials; Bathroom Cleaning Products; Household
19533,Christmas Lighted Glass With Winter Scene 9x20cm,15.95,17.0,1.0,p,False,False,,household,Christmas Items; Seasonal Items; Household
19534,Whitakers Milk Smokey Salted Caramel Squares 150gr,4.95,5.5,0.15,kg,False,False,,household,Christmas Items; Seasonal Items; Household; Whitakers
19535,"Rect-cont.,1.2lt80100590190 Hei1908",4.12,4.25,1.0,p,False,False,,household,Household Care and Essentials; Kitchen Essentials; Household
19537,Eurolamp Extreme Power Battery Aaa 1.5v 4pcs,2.2,2.9,1.0,p,False,False,,household,Batteries; Household
19538,Tescoma Table Knife 12 Cm 6 Pcs Red Presto,10.29,10.5,1.0,p,False,False,,household,Tescoma; Household Care and Essentials; Kitchen Essentials; Household
19547,Dim Cotton Ladies Boxers/panties [4h01],14.99,14.99,1.0,p,False,False,,household,Dim; Garments; Underwear; Household
19550,Candle Numeral Deluxe - 8,1.36,1.4,1.0,p,False,False,,household,Party Items ; Household; Party Items
19554,Dream Baby Toothbrush Set 3 Stage White,6.99,6.99,1.0,p,False,False,,household,Dream Baby; Baby Accessories; Baby Care and Accessories; Household
19557,Nuvoletta Casa Alla Lavanda 3ltr,3.68,4.25,3.0,l,False,False,,household,Laundry Conditioner; Laundry Products; Household
19558,Hotpack Biodegradable Picnic Set X12,4.8,4.9,1.0,p,False,False,,household,Disposable Goods; Disposable Cups; Household
19561,De Fonseca Ladies Wedge Flip Flops,12.9,12.9,1.0,p,False,False,,household,Shoes; Footwear; Household
19566,Sperlari Tartufi Di Chocolate Assortiti 160g,5.5,5.65,0.16,kg,False,False,,household,Sperlari; Christmas Items; Seasonal Items; Household
19567,Culpitt Select Baking Cases Red 50mm X50pcs,4.42,4.6,50.0,p,False,False,,household,Disposable Cup Cakes; Culpitt; Household; Party Items
19568,Areon Orient,1.5,1.5,1.0,p,False,False,,household,Car Air Freshners; Car Products; Areon; Household
19575,Bialetti Dynamic Stone Frying Pan 30cm,20.66,21.75,1.0,p,False,False,,household,Household Care and Essentials; Kitchen Essentials; Bialetti; Household
19577,Navigate Monochrome Tile Stainless Steel Drinks Bottle 500ml,22.98,24.0,1.0,p,False,False,,household,Kitchen Care and Accessories; Thermos; Household
19579,Barbxp Precision Beard Trimmer,19.99,19.99,1.0,p,False,False,,household,Women Accessories; Abc; Household
19580,Noel Tatt Wedding Ing -dj324,2.5,2.5,1.0,p,False,False,,household,Cards; Stationery ; Household
19585,Zippo Reading Glasses,10.95,10.95,1.0,p,False,False,,household,Reading Glasses; Health; Household
19588,Nick Explosions X 6,16.99,29.99,1.0,p,False,False,,household,Toys; Household
19589,Vernel Softener Conc. 48 Lavender Lavender 1.2ltr,3.99,5.0,1.2,l,False,False,,household,Laundry Conditioner; Laundry Products; Vernel; Household
19596,Pampers Pants 4 Maxi X23,9.33,11.25,23.0,p,False,False,,household,Pampers; Baby Care and Accessories; Diapers / Nappies; Household
19597,Glade Auto Refill Berry 269ml,5.37,5.77,0.27,l,False,False,,household,Household Care and Essentials; Air Freshners; Household; Glade
