product_id,product,salesprice,salespricerrp,sizevalue,sizeunit,isWeighted,bcrs,country,category,labels
19670,Smart Organic Sesame Seeds 250g,2.74,2.85,0.25,kg,False,False,,organic,Organic; Smart Organic; Organic Food; Dietary Food
19676,Misura Biscotti Fibrextra Integrali 330g,3.06,3.29,0.33,kg,False,False,,organic,Organic; Misura; Dietary Food
19688,Alpro Yofu Nas Single Passion Fruit 135g,1.53,1.85,0.14,kg,False,False,,organic,Organic; Gluten Free Products; Dietary Food; Alpro
19701,Kelkin Peanut Butter Smooth 350g,4.12,4.4,0.35,kg,False,False,,organic,Organic; Gluten Free Products; Dietary Food; Kelkin
19704,Powerbar Natural Energy Bar Vegan Sweet And Salty 40g,1.42,1.49,0.04,kg,False,False,,organic,Organic; Dietary Food
19718,Biona Rye Bread Amaranth 500g,3.37,3.5,0.5,kg,False,False,,organic,Biona; Organic; Organic Food; Dietary Food
19736,Damhert Apricot Jam 210g,2.58,2.86,0.21,kg,False,False,,organic,Organic; Sugar Free Products; Dietary Food
19739,Pensa Bio Pealed Sunflower Seeds 250g,2.54,2.65,0.25,kg,False,False,,organic,Organic; Dietary Food
19742,Vitalp Sugar Free Orange 25g,1.2,1.2,0.25,kg,False,False,,organic,Organic; Sugar Free Products; Dietary Food
19745,Biona Cider Vinegar Mother 750ml,4.28,4.45,0.75,l,False,False,,organic,Biona; Organic; Organic Food; Dietary Food
19747,Dragon Tapioca Flour 200g,2.92,3.0,0.2,kg,False,False,,organic,Organic; Dragon; Organic Food; Dietary Food
19757,Biona Agave Light Syrup 700g,8.95,9.3,0.7,kg,False,False,,organic,Biona; Organic; Organic Food; Dietary Food
19758,Dragon Immunity Mix 150g,12.51,13.0,0.15,kg,False,False,,organic,Organic; Dragon; Dietary Food
19766,Eat Real Chips Straws Veggie Kale 113g 66c Off,1.89,2.55,0.11,kg,False,False,,organic,Organic; Dietary Food; Eat Real
19781,Bombus Raw Energy Maracuja & Coconut 50g,0.95,0.99,0.05,kg,False,False,,organic,Organic; Dietary Food
19792,Servivita Bbq Sauce 320ml,4.19,4.35,0.32,kg,False,False,,organic,Organic; Dietary Food; SERVIVITA
19797,Meridian Peanut & Coconut Butter 280g,5.6,6.21,0.28,kg,False,False,,organic,Organic; Dietary Food; Meridiana
19799,Schar Cereal Flakes 300g,4.05,4.29,0.3,kg,False,False,,organic,Organic; Schar; Gluten Free Products; Dietary Food
19814,Dragon Turmeric Curcuma Powder 150g,4.33,4.5,0.15,kg,False,False,,organic,Organic; Dragon; Organic Food; Dietary Food
