product_id,product,salesprice,salespricerrp,sizevalue,sizeunit,isWeighted,bcrs,country,category,labels
19755,Schesir Cat Food Tuna Chicken & Shrimp 85g,1.33,1.45,0.09,kg,False,False,,pets,Cat Tinned and Pouch Food; Pets; Pet Food
19784,Beef W. Spaezle & Courgettes - 125g,1.44,1.52,0.13,kg,False,False,,pets,Pets; Dog Dried Food; Pet Food
19803,Princess Premium Gld Chicken & Tuna & Rice & Scal Lvr & Urni 170g,1.96,2.25,0.17,kg,False,False,,pets,Other Pet Food; Pets; Princess; Pet Food
19810,Trixie Fur Care Glove,5.75,5.81,1.0,p,False,False,,pets,Pets; Trixie; Pet Accessories
19819,"Trixie Premio Chicken Cheese Stripes, 100g",2.92,2.95,1.0,p,False,False,,pets,Other Pet Food; Pets; Trixie; Pet Food
19824,Little Bigpaw Gourmet Atlantic Salmon Mousse 85g,1.35,1.36,0.85,kg,False,False,,pets,Cat Tinned and Pouch Food; Pets; Pet Food
19826,Monge Dog Fruit Salmon Pear Pate & Chunks 100g,1.28,1.35,0.1,kg,False,False,,pets,Pets; Dog Tinned and Pouch Food; Pet Food
19843,Amore Mio Salviettine Cani E Gatti X 36 Pz.,2.55,3.25,1.0,p,False,False,,pets,Other Pet Food; Pets; Amore Mio; Pet Food
19859,Monge Dog Solo Rabbit 150g,1.99,2.11,0.15,kg,False,False,,pets,Pets; Dog Tinned and Pouch Food; Pet Food
19864,Schesir Dog Food Medium Main Fish 3kg,12.23,13.44,3.0,kg,False,False,,pets,Pets; Dog Dried Food; Pet Food
19882,Vitakraft Royal Bones 60g,2.13,2.29,0.06,kg,False,False,,pets,Other Pet Food; Pets; Pet Food
19890,"Chewing Bone, Pressed, 10 Cm, 3 × 33 G",2.11,2.13,1.0,p,False,False,,pets,Other Pet Food; Pets; Trixie; Pet Food
19899,Vitakraft Dog Maxis Sausages 180g,2.98,3.25,0.18,kg,False,False,,pets,Other Pet Food; Pets; Pet Food
19915,Attitude Pet Air Purifier Lavender,6.71,6.99,1.0,p,False,False,,pets,Pets; Pet Hygiene
19931,Iams 12x85g,6.95,7.5,0.09,kg,False,False,,pets,Cat Tinned and Pouch Food; Pets; Pet Food
