product_id,product,salesprice,salespricerrp,sizevalue,sizeunit,isWeighted,bcrs,country,category,labels
19583,Sella & Mosca Cannonau Di Sardegna 750ml,10.86,11.49,0.75,l,False,False,Italia,winecellar,Wines; Sella & Mosca; Wine Cellar; Foreign Wines
19587,Kaiserdom Lemon Zero Alcohol 500ml,1.15,1.5,0.5,l,False,True,,winecellar,Beer and Ciders; Wine Cellar; Beers
19603,Contrada Monte Gorna Etna Rosso Bio 750ml,15.95,20.5,0.75,l,False,False,,winecellar,NICO; Wines; Wine Cellar; Foreign Wines
19626,Malibu 70cl,15.7,15.95,0.7,l,False,False,,winecellar,Malibu; Wine Cellar; Spirits
19628,Farina Amarone Della Valpolicella 750ml,42.79,44.81,1.0,p,False,False,,winecellar,Wines; Wine Cellar; Foreign Wines
19652,Bollinger Special Cuvee 75cl,47.82,49.02,0.75,l,False,False,,winecellar,Wines; Wine Cellar; Foreign Wines
19654,Brussels Beer Project Jungle Joy 330ml,3.44,3.7,0.33,l,False,True,,winecellar,Beer and Ciders; Wine Cellar; Beers
19663,Bordeaux Blanc Calvet Reserve Calvet 750ml,8.87,9.23,0.75,l,False,False,,winecellar,Wines; Wine Cellar; Foreign Wines
19665,Blossom Hill White Zinfandel 750ml,6.8,7.25,0.75,l,False,False,,winecellar,Wines; Blossom; Wine Cellar; Foreign Wines
19672,El Monstruo Malbec Bonarda Arg. 75cl,9.83,10.4,0.75,l,False,False,,winecellar,Wines; Wine Cellar; Foreign Wines
19675,Bolla Soave 2021 37.5cl,5.93,6.61,0.38,l,False,False,,winecellar,Wines; Wine Cellar; Foreign Wines
19686,9 Mile Vodka 700ml,18.88,19.28,0.7,l,False,False,,winecellar,Wine Cellar; Spirits
19691,Nicosia Generazione 898 Merlot Igt 750ml,5.98,7.45,0.75,l,False,False,,winecellar,NICO; Wines; Wine Cellar; Foreign Wines
19697,Prosecco Frizzante Docg Corda Gold 750ml,8.25,10.2,0.75,l,False,False,,winecellar,Champagne and Sparkling Wine; Tonon; Wines and Champagne; Wine Cellar
