name,price
Nettuno Mussel Meat 500g, €4.91
Tuna With Herbs - Gourmet, €19.00
Homemade Smoked Salmon - Fish, €36.50
Frosta Bocconcini Di Merluzzo 280g, €4.96
Findus Merluzzo Grigliato Pomodoro 250g, €5.99
Thai Tapas Prawn Gyoza 1kg, €17.80
Vongole Sgusciate Precotte Congelate 250gr, €3.99
Salmon Carpaccio Sashimi  - Fish, €30.00
Arbi Ragu Di Polpo 220g, €5.89
Sushi Roll Platter Set A, €7.50
Gallina -gurnard(local) (gourmet), €29.00
Tuna Belly, €5.50
Findus Crispy Cod Fillet 360g, €7.99
Frosta Croccanti Agli Spinaci 220g, €3.99
Mussels Fish, €5.50
Donegal Catch Battered Cod Fillets 400g, €11.75
Gurbell-meagre  ( Local ) - Fish, €12.00
Frozen Cooked Squid Tentacles 1kg, €10.90
Frozen Fish Burgers, €4.90
"Highland Harvest Smoked Salmon, 200g", €9.79
Nettuno Mussel Meat 500g, €4.91
Tuna With Herbs - Gourmet, €19.00
Homemade Smoked Salmon - Fish, €36.50
Frosta Bocconcini Di Merluzzo 280g, €4.96
Findus Merluzzo Grigliato Pomodoro 250g, €5.99
Thai Tapas Prawn Gyoza 1kg, €17.80
Vongole Sgusciate Precotte Congelate 250gr, €3.99
Salmon Carpaccio Sashimi  - Fish, €30.00
Arbi Ragu Di Polpo 220g, €5.89
Sushi Roll Platter Set A, €7.50
Gallina -gurnard(local) (gourmet), €29.00
Tuna Belly, €5.50
Findus Crispy Cod Fillet 360g, €7.99
Frosta Croccanti Agli Spinaci 220g, €3.99
Mussels Fish, €5.50
Donegal Catch Battered Cod Fillets 400g, €11.75
Gurbell-meagre  ( Local ) - Fish, €12.00
Frozen Cooked Squid Tentacles 1kg, €10.90
Frozen Fish Burgers, €4.90
"Highland Harvest Smoked Salmon, 200g", €9.79
Salmon Sweet Chilli &  Lime & Corriander - Fish, €22.00
Findus Croccole 2pcs 216g, €7.95
Cippulazza ( Scorpion Fish ) ( Local ) - Fish, €26.00
Vici Salmon Steaks 2x125g, €8.90
La Ciurma Filetti Di Meluzzo 640g, €6.99
Findus Croccole Con Omega 3pcs 200g, €7.95
Frosta Bastoncini Salmone 10 X 300g, €6.82
Frozen Neonati, €16.00
Sushi Mix Platter Set F, €8.50
Nettuno Superior Seafood 500g, €6.29
Xxl Giant Prawns, €41.95
Natural Cool Organic Mangos 300g, €4.95
Donegal Catching 2 Xl Battered Fish Fillets 300g, €5.94
La Ciurma Shrimps 500g, €9.52
Bird's Eye 4 Fish Fillets In Batter 400g, €6.65
Youngs  Flipper Dippers 250g, €3.35
Genepesca Tentazione Cozze 300g, €4.95
Donregal Catch Fish Nuggets 250g, €4.68
Findus Fish & Crispy Fillet 480g, €7.79
Natural Cool Organic Blueberries 300g, €5.24
Arbi Condiscoglio Pomodoro 450g, €5.89
Dott Steak-wreckfish ( Local ) - Fish, €29.95
Lobster (local) - Fish, €39.00
Condipresto Frozen Ready Made Mixed Seafood Sauce 450g, €5.19
King Prawns Rossi 03 ( Local ) - Fish, €48.50
Seafood Mix, €8.95
Findus Nuggets Di Merluzzo D'alaska 245g, €5.89
Findus Filetti Di Merluzzo 360g, €8.99
Findus Merluzzo Gratin.sz Gluti 380g, €7.99
Pagell -pandora  (red Snapper) - Fish, €14.95
Pork Spring Roll X12, €3.95
Youngs 10 Omega 3 Fish Finger 250g, €3.55
Arbi Condivongola 450g, €6.35
Homemade Smoked Acciola, €37.75
Findus Croustibat Fish Fingers 12 Pack 360g, €5.75
Vici Breaded Maxi Shrimps 300g, €3.95
Cuttle Fish(sicc) With Herbs, €19.95
Fidagel Calamari 10/15 500g, €8.99
Planets Pride Vannamei Shrimp 750g, €13.12
Salmon Nigiri (g), €5.95
Seabass (spnotta) With Herbs- Gourmet, €10.95
Planets Pride Octupus Baby 800g, €13.63
Norlax Smoked Salmon 200g, €9.99
Mare Pronto The Fish Burger Tonno 170gr, €4.99
Tragni-weaver, €19.95
Kirkland Signature Tempura Shrimp 30 Ct 1.07kg, €31.34
Ittitalia Ocean Catch Fish Fingers 300g, €2.89
Findus Fish Fingers 14pcs 350g, €4.86
Youngs 4 Battered Cod Fillet 440g, €9.79
Wiva Mare Sugo A/vongole Mare 350g, €4.99
Planets Pride Bao Buns Folded Black 990g 22pcs, €15.22
Youngs 4 Battered Fish Fillet 400g, €6.99
Donegal Catach Cider Batterd Haddock 270g, €6.75
Smoked Erringi, €14.45
Wakame Salad - Fish, €25.00
Rizzi, €19.50
Sushi Mix Platter Set B, €8.50
Klaas Puul Seafood Mix 500g, €5.52
Wiva Mare Condipresto Pronto Scoglio Pomodoro, €4.99
Mare Pronto The Fish Burger Salmone 170gr, €5.99
