name,price
Cheeson Soft Cheese Full Fat 150g, €2.55
Stuffer Da Bere Lattosio Banana 500g, €2.36
Noel Fuet Vela Extra 170g, €3.36
Cheese & Sun-dried Tomatoes 200g, €3.85
Cameo Muu Muu Vaniglia X4, €3.99
Stuffer Yogurt Latosio  Banana 0.1% 125g, €1.65
Espana Chorizo Sarta Extra Picante 200g, €2.99
Alpha Gefsi Cream Cheese Feta & Greek Yogurt Speard 200g, €3.09
Fiorucci Rostello Afftettato 130g, €5.99
Parmalat Chef Panna Cremosa E Omogenea 200ml, €1.95
Danone Hipro Cup Mirtilllo 160g, €1.91
Arizona Half & Half Iced Tea Tropical 680ml, €1.89
Alpha Gefsi Spicy Cheese Dip With Feta 200g, €2.74
Dairymaid Prm.spread 454g, €3.29
Schar Veggie Pizza Cereali 390g, €5.80
Arla Cream Cheese Pineapple 200g, €2.52
Balut Eggs X6, €1.72
Philadelphia Fantasie Salmone X6, €3.95
Muller Yogurt Di Crema Ciliegia 250g, €1.56
Bluecheese Dip, €11.55
Quescrem Spread Cheese With Garlic 200g, €3.35
Steril Yoghurt Maxi Fragola 500g, €1.94
Muller Bianco Seto Mirtilli E Vanila 2 X 250g, €1.54
Artichokes Dip, €11.55
Vitalite Standard 500g, €4.13
Espana Salchichon Extra 100g, €1.84
"Berchtesgadener Land Alpenzwerg Organic-chocolate-milk 1,5% 250g", €1.20
Alpha Gefsi Tzatziki Dip 200g, €2.38
Halta Margarina Vegetale 250g, €1.03
Delta Natural Greek Yog 10% 150g, €1.67
Delta Greek Yogurt 0% Cherry 150g, €1.72
Zott Monte Single Pot 150g, €1.55
Wuber Frankfuter 200gr, €2.99
President Unsalted Butter 250g, €4.82
Hanini Creamylight Cooking Cream, €1.24
Discus Coleslaw 250g, €2.52
Rudolfs Joyful Bio Banana Strawberry Smoothie 260ml, €2.61
Philadelphia Cottage Cheese 200g, €3.30
Zott Protein Pudding Caramel 200g, €1.43
Cucina D'oro Uht Cooking Cream 200ml, €1.08
I Can't Believe It's Not Butter Spread 500g, €2.99
Delta Greek Yogurt Coconut Choc  150g, €1.72
Lurpak Butter Latte Fresco 10 X 100g, €2.59
Dany Original Chicken Luncheonmeat 300g, €2.65
Olympus Drink Kefir Plain 1% 500ml, €1.65
Cranberry Skin Pate, €39.99
Muller Dessert Proteico Vaniglia Panna 200g, €2.63
Berchtesgadener Land Bio-fruit Quark Strawberry 200g, €1.76
Fage Fruyo Coconut 1.3% 150g, €1.87
Danone Activia 0.1% Pesca 4x125g, €3.50
Stuffer Dessert Proteico Vaniglia 200g, €1.95
Kolios Hercules High Protein Greek Yogurt 0% 200g, €1.99
Danone Hipro Mango 300g, €2.82
Zott Jogobella Panna Cotta 150g, €0.65
Valsoia Bonta Salute Yosoi Vaniglia 2 X 125g, €2.25
Pascual Flavoured Vanilla 4x125g, €2.64
Devon Double Cream 170g, €4.43
Lurpak Spreadable Light 250g, €4.54
Vegan Deli Chives 100g, €3.39
Montare D'oro Spray  241ml, €2.45
Camel Brand Salami Dip 230g, €3.69
Remia Sunflower Margerine 500g + 250g Free, €4.41
Pascual Yogikids Duo Chocolate 2x80g, €2.85
Tulip Pancetta A Cubetti 100g, €2.24
Pinsa Cuore Italiano Integrale 460gr, €6.25
Divella Tagliatelle Uovo 250g, €1.52
Danone Actimel Fragola X6, €4.26
Mevgal Autentic Greek Yogurt 0% Fat 900g, €5.99
Milk Pro Protein Source Snack Fresco Al Cacao 4x40gr, €6.50
Camel Brand Capers  X 300g, €2.75
President Whipping Cream 500ml, €6.69
Discus Danish White Cheese With Chilli, €1.40
Muller Mix Pistacchios Mandorle 150g, €1.52
Parmalat Kyr Fragola 2x125gr, €1.99
Danone Danacol Fragola 8x100ml, €7.99
Regilait Frappe Latte Caffe 250ml, €2.27
Milk Snack Al Latte 4x28g, €1.99
Country Life Butter Salted 250g, €6.29
Leoncini Pancetta Affumicata Cubetti 2x50g, €2.27
Josefa Blue Cheese Dip  195g, €2.19
