name,price
The Jelly Bean Factory 36 Huge Flavour Gourmet Popabean Can 100g, €3.48
Barilla Penne Rigate Integrale 500g, €1.64
Mackie's Sea Salt & Vinegar 150g, €2.38
Mr Riley Cheesy Rings 23g, €0.80
Rummo Fettuccine All Uovo 250g, €1.79
Kettle Chips Thai Sweet Chilli 130g, €2.66
Rummo Spaghettini 500g, €1.15
Valor 70% Dark Chocolate Orange Stevia 100g, €2.36
Henderson & Sons Dip Guacamole 300g, €2.98
Valor 70% Dark Chocolate Salt 100g, €2.07
Walkers Salt And Vinegar 32.5g, €0.80
Relkon Egg My Little Pony Heart, €1.42
Jolly Rancher Awesome Twosome Chews 184g, €3.75
Polo Sugar Free 33.4g, €0.82
Alberto Poiatti Stelline 500g, €0.85
Chocolate & Mint, €2.50
Dais Croissants Chocolate 8pk, €2.25
Mister Free`d Vegan Tortilla Chips Cheese 135g, €2.95
Jouyco Flurries Cocoa 120g, €1.07
Pectol Eucalyptus 19.2g, €0.85
Walkers Quavers Cheese 20.5g, €0.99
Dais Croissants Cream 8pk, €2.25
Lindt Lindor Milk Balls 337g, €10.80
"La Molisana Linguine Bronzo N.6, 500g", €1.08
Funlab Ice Pop Dippers 30g, €0.98
Chupa Chups Lollipops, €0.42
Cheese & Onion 32.5g, €0.95
Elledi Double Wafer Lemon 125g, €1.80
Valor 70% Dark Chocolate Raspberry 100g, €2.07
Parfetti Morositas Liquirizia Senza Zucchero, €1.12
Gusparo Roll Frutta 200g, €1.54
Barilla Fusilli 98 1000g, €2.15
Meiji Hazelnut Yan Yan .44g, €1.49
Cadbury Twirl 43g, €0.94
Cadbury Bournville 180g, €3.51
Agnesi Lasagne 500g, €2.34
Ritter Butter Biscuit 100g, €1.95
"Plain Sponge, 20cm", €2.95
La Molisana Fettucine 5 500g, €1.08
Bebeto Ocean Park 80g, €1.14
Pavesi Togo Cioccolato Classico 120g, €2.95
Lol Red Mix Strawberry 110g, €1.58
Cavendish & Harvey Mixed Fruit Candies Decorative Jar 966g, €7.53
Jouyco Chocomallow 150g, €1.45
Frit Ravich Wheels 85g, €1.98
Jannis Hazel Nut Bar 40g, €1.45
Cavendish & Harvey Wine Gums 180g, €1.90
Cote D'or Wholenut 3+1free 4x45g, €3.38
Jack Links Beef Jerky Biltong Clipstrip 25g, €2.75
Catch Dark Chocolate 50g, €0.72
Cachet Pear & Almonds Chocolate 100g, €2.42
Benn Candies Soft 250gr, €1.50
Loacker Tortina Original 21g, €0.60
"Muffins Vanilla, X 6", €3.50
Pata Neutro Crisps 300g, €4.15
Rummo Calamarata 500g, €2.18
De Cecco Polpa Di Pomodoro Corposa 690g, €1.73
Pringles Small Hot Paprika  40g, €1.05
M&ms Peanut Bag 165g, €3.12
Buitoni Golden Rusks 300g, €2.75
Morato Nuvo Latte Classico X10, €3.10
Milka Oreo 100g, €1.86
M&ms Hollow Chocolate Santa 100g, €3.45
Mackie's Tangy Tomato 150g, €2.38
Alberto Poiatti Spaghetti 1kg, €1.35
Cachet Blackberry & Ginger Chocolate 100g, €2.42
Kuchenmeister Sponge Fruit Flan 200g, €3.20
Cadbury Family Treat Size 222g, €3.74
Lemon Cheesecake 20cm, €22.00
Valor 70% Dark Chocolate Caramel 100g, €2.07
Chocolate Cake 24cm, €28.00
Aunt Mabel's Muffin Carrot 100g, €1.70
San Carlo Chips Dore Classico Bar 45g, €1.92
Cavendish & Harvey Tropical Selection Candies - Decorative Jar 300g, €3.36
Dietorelle Strawberry Gums 70g, €2.66
Hazelnuts & White Chocolate Crunch Gateaux 20cm, €22.00
Mixed Assorted Sweets, €0.55
Haribo Tropi Frutti Pack 200g, €2.05
Cofresh Hummus Chips Sea Salt 135g, €2.49
Ritter Chopped Hazelnuts 100g, €1.95
