name,price
Salted Anchovies, €37.80
"Cheddar With Apple, Cinnamon And Raisin", €26.00
Maltese Smoked Sausage, €8.61
Fiorucci Salame Ungherese, €16.28
Beaufort Savoie, €49.98
Galbanone, €16.43
Latteria Montello Stracchino Nonno Nanni 125g, €3.52
Bo F Di Castag Cheese, €68.25
Fior Di Vita Cheddar Garlic & Chive 120g, €2.47
Zanetti Grana Flakes Cut 100g, €2.50
Inalpi Fettine Grana Padano 150g, €1.58
Basiron Pesto Verde Cheese Slices 150g, €3.37
Lardo Alle Erbe, €15.62
Negroni Golosino 3 X 250g, €5.90
Bayernland Edam Sliced 140g, €2.33
Coombe Castle Lancashire 200g, €3.23
Lucky Cow Combi 200g, €1.50
Vonk Cheese Slices Catering 800g, €6.99
Lacey Light, €20.53
Ambrosi Pecorino Romano 200g, €7.15
Vergeer Pasta Cheese 150g, €2.67
Proscuitto San Daniele Friulano, €30.24
Prosciutto Cotto With Herbs, €20.95
Ambrosi Pecorino Romano Fresh Grated 100g, €4.57
Ile De France Tartare Cote D'azur 100g, €3.99
Glenstal Extra Mature Cheddar 200g, €4.10
Galbani.dolcelatte X150g, €3.62
Porminho Sandwich Ham 98% Low Fat, €6.98
Vio Creamy Garlic & Herbs 150g, €3.13
Bontafette Petto Di Tacchino Arrosto M&c 60gr, €1.21
Square Blue Cheese, €14.49
Chamois Dor Cheese, €25.20
Gardani Crudo 18 Months, €28.09
Creamy Goat Cheese  With Honey, €30.99
Kolios Feta 150g, €3.19
Auricchio Wedge Granapadano 200g, €5.41
Fior Di Vita Edam Cheese Slices 150g, €2.27
Montagna Nduja Piccante, €22.93
Fior Di Vita Mozzarella Cheese Slices 150g, €2.57
Babybel Mini Rolls 85g, €3.95
Delta Feta Cheese Block 200gr, €3.75
Jolly Square Ham, €6.50
Snowdonia Black Bomber, €31.92
Rana Ravioli Formaggio 400g, €5.39
Snowdonia Truffle, €39.38
Lardo Di Colonnata, €36.75
Delice Des Cremiers, €31.45
Babybel Mini 120g, €3.95
Comte Trad Emot, €32.22
Basiron Mixed Nuts, €17.17
Emborg Red Cheddar 200g, €3.84
Reny Picot Mozzarella Shredded 150g, €2.90
Bigilla, €7.88
Auricchio Wedge Parmegiano Reggiano 200g, €6.81
Brie Goat Cheese, €32.13
Benna Rikotta 250g, €1.95
Galbani Mozzarella Di Bufala 125g, €3.72
Manchego Dop Cheese, €44.95
Hanini Fresh Goat Gbejniet X2, €2.69
Dodoni Feta  In Oil And Oregano 150g, €5.37
Trevalli Formaggio Misto Noci 180g, €3.56
Auricchio Mozzarella Bufala 125g, €3.17
La Contadina Mozzarella Di Bufala Lacto Free 125g, €3.19
Old Irish Cheese Luck'o, €26.20
Fior Di Vita Havarti Cheese Slices 150g, €2.86
Olympus Feta Cheese 200g, €3.90
Cacio Cavallo Fresco, €42.00
Gbejniet Moxxi Dry, €23.80
Kerrygold Mild White Cheddar 200g, €3.69
Mortadella Tartufo, €20.97
Arla Apetina Feta In Oil 275g, €3.76
Sant Dalmai Chorizo Extra 100g, €2.71
Negroni San Daniele Prosciutto Crudo 80g, €4.65
Chocolate And Orange Cheese, €29.35
Hanini Fresh Cow  2x100g, €2.49
Elite Deli To Go Shredded White Cheddar 150g, €2.61
Gouda Cheese Lactose Free, €18.11
Morbier Cheese, €31.50
Chicken Roll ( On Offer ), €11.50
Stuffed Vine Leaves, €21.78
