name,price
Kiwi Small, €4.75
Aloc X Amazonica, €16.18
"Pineapple, Fennel & Ginger Juice", €2.95
Tofu/vegetable Kebab, €1.25
Aglaonema, €23.60
Pink Oyster Mushrooms, €50.06
White Diced Onions 200g, €0.99
Peperomia, €11.67
Apple Wedges, €0.98
Aloc X Amazonica, €52.99
Calat Sanderiana, €52.99
Potatoes ( 4kg Bag ), €4.80
Rhubarb Per Kg, €8.02
Coriander In Pot, €4.13
Pears ( Peeled Prickley Pears ), €4.95
Hericot Verts, €3.74
Carrots Spaggetti Fresh, €2.95
Chicken Hazelnut Ceaser, €5.95
Barlotti Pears, €4.95
Vriesea Astrid, €15.12
Pear ( Prickly Pears ) Per Kg, €3.45
Fic Beng Roy, €12.79
Doreoc Special Frites 2.5kg, €2.95
Vegetable Couscous, €8.93
Peperomia, €11.42
Fruit Salad Cups, €2.25
Ger Colourgame Gem, €5.10
"White Grapes, 1kg", €4.95
Dra Gem, €19.34
Pumpkin Qararotta, €1.75
Beef & Fagioli Soup 500ml, €4.95
Apple & Ginger Juice 500ml, €5.75
Chicken Katsu Baguette, €5.45
"Papaya,mango & Dragon Fruit Platter", €3.95
Ro Baby Jewel, €6.69
Kiwi Gold, €8.00
Coconut, €1.65
Aloe Vera, €12.41
Avocado Ready To Eat Per Piece, €1.40
Naga Jolokia 80g, €10.96
Swede Per Kg, €2.69
Wallnuts In Figs/dates/apricots, €16.95
Aubergines By Kg, €3.24
Spaghetti Squash Per Kg, €4.70
Cut Beans, €12.63
Red Watermelons Quarter, €3.22
Nettle Leaves 110g, €4.12
Mixed Fruit Smoothie, €2.95
Ginger, €6.80
Erica Darley White Perfect, €4.78
Chrys Gem In Pot, €5.86
Plum Vine Tomatoes, €5.31
Yellow French Beans By Kg, €16.13
Mango Smoothie, €2.95
Shredded Tri Colori X300g, €1.98
Calat Ov, €10.10
Pomegranate Seed, €3.95
Ginger & Turmeric Shots 150ml, €2.75
Carrots With Leafs, €2.06
Turnips ( Foreign Turnips ), €2.19
Apples ( Golden Delicious Apples ) By Kg, €2.82
Pineapple ( Peeled Pineapple ), €3.75
Sliced Red Onions 500g, €1.75
Marjoram In Pot, €4.20
Figs ( Fresh Figs ) By Kg, €33.82
Ro Am Inf Soft Pink, €7.93
Toffee & Cinnamon Apple Granola Cup, €2.45
Baby Roses Plantx12, €55.00
Pachira Aquatica, €15.13
Duck Bao Buns, €7.45
Yellow Tomatoes, €6.19
Pteris Straminea, €9.62
Mill Kcina Taz Zija Freskezza Spinach 300g, €2.74
Figs Smoothie, €2.95
Herbs ( Fresh Thyme ) Pkts, €1.45
Baby Spinach 350g, €5.50
Mustard Ground 350g, €4.35
Grapefruit Juice 250ml, €2.58
Arr  Strelitzia L%, €15.38
Beg Du Gem, €7.81
